NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GIII,4156.0,71.83,200.0,-4.35,0.1214,3.5,0.2258,7.58,0.2564
g77-61_m2b_casper.fits,CH+C2,GIII,4028.0,78.16,200.0,-3.37,0.2623,2.36,0.5095,7.42,0.5731
