NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GI,4095.0,61.8,200.0,-2.59,0.147,1.93,0.0191,7.77,0.1482
g77-61_m2b_casper.fits,CH+C2,GI,4248.0,68.97,200.0,-2.83,0.1266,2.17,0.109,7.77,0.1671
