NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GIII,4999.0,313.52,250.0,-2.6,0.6767,3.12,0.1394,8.95,0.6909
g77-61_m2b_casper.fits,CH+C2,GIII,4934.0,302.52,250.0,-1.0,0.2477,1.67,0.2246,9.1,0.3344
