NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GIII,4116.0,155.37,200.0,-3.94,0.2896,3.06,0.2826,7.55,0.4046
g77-61_m2b_casper.fits,CH+C2,GIII,4001.0,136.89,200.0,-4.29,0.2356,3.21,0.0878,7.35,0.2514
