NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH,GIII,4197.0,168.7,200.0,-4.16,0.5659,2.96,0.2831,7.23,0.6328
g77-61_m2b_casper.fits,CH,GIII,4000.0,196.47,200.0,-4.5,0.3572,3.25,0.3248,7.18,0.4828
