NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GIII,4137.0,38.03,200.0,-4.39,0.0656,3.61,0.1627,7.65,0.1754
g77-61_m2b_casper.fits,CH+C2,GI,4244.0,86.58,200.0,-2.85,0.205,2.17,0.0911,7.75,0.2243
