NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GI,4340.0,62.64,200.0,-2.72,0.4105,2.25,0.5239,7.96,0.6656
g77-61_m2b_casper.fits,CH+C2,GIII,4240.0,77.85,200.0,-4.15,0.122,3.35,0.0902,7.63,0.1517
