NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH,GIII,4525.0,29.71,200.0,-3.46,0.062,3.14,0.015,8.1,0.0638
g77-61_m2b_casper.fits,CH,GIII,4247.0,7.12,200.0,-4.09,0.0589,3.22,0.0255,7.57,0.0642
