NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GIII,4120.0,106.51,200.0,-4.18,0.4389,3.32,0.2758,7.57,0.5184
g77-61_m2b_casper.fits,CH+C2,GIII,4131.0,85.52,200.0,-4.12,0.1436,3.14,0.1683,7.45,0.2212
