NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GIII,4506.0,86.42,200.0,-3.39,0.311,3.13,0.1132,8.17,0.331
g77-61_m2b_casper.fits,CH+C2,GI,4822.0,12.15,200.0,-1.07,0.0058,1.68,0.0059,9.05,0.0083
