NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH,GIII,4105.0,18.88,200.0,-3.49,0.0198,2.64,0.0117,7.58,0.023
g77-61_m2b_casper.fits,CH,GIII,4247.0,54.82,200.0,-3.25,0.1158,2.6,0.0877,7.78,0.1453
