NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GI,4271.0,82.15,200.0,-2.93,0.2316,2.32,0.1484,7.81,0.2751
g77-61_m2b_casper.fits,CH+C2,GI,4275.0,79.93,200.0,-2.79,0.2104,2.21,0.0928,7.84,0.23
