NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH,GIII,4185.0,120.22,200.0,-4.12,0.3271,3.17,0.1198,7.48,0.3484
g77-61_m2b_casper.fits,CH,GIII,4356.0,66.17,200.0,-3.66,0.2247,2.89,0.0907,7.66,0.2423
