sequence,name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,carbon_mode,MCMC_iter
5,HE0017+0055_KPNO21_2100.fits,0.7699,0.1723,,0.0228,,250,-82.03,NaN,NaN,NaN,GIANT,HALO,,4000
6,he0017_m1b_casper.fits,0.7699,0.1723,,0.0228,4336,250,-18.7,NaN,NaN,NaN,GIANT,HALO,,4000
