sequence,name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,carbon_mode,MCMC_iter
33,jy2553_m1b_casper.fits,0.4696,-0.0932,0.871,0.0693,5022,250,3.1,  NaN, NaN, NaN,GIANT, HALO, ,200
34,jy2553_m2b_casper.fits,0.4696,-0.0932,0.871,0.0693,5022,250,3.1,  NaN, NaN, NaN,GIANT, HALO, ,200
