sequence,name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,carbon_mode,MCMC_iter
18,jy1706_m1b_casper.fits,0.9364,0.2326,1.511,0.0212,3943,250,0.6,  NaN, NaN, NaN,DWARF, HALO, CH,200
19,jy1706_m2b_casper.fits,0.9364,0.2326,1.511,0.0212,3943,250,-54.8,  NaN, NaN, NaN,DWARF, HALO, CH,200
