sequence,name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,carbon_mode,MCMC_iter
43,jy3196_med_casper.fits,0.6034,0.0744,0.757,0.0287,5016,250,-4.3,  NaN, NaN, NaN,GIANT, HALO,CH ,200
44,jy3196_sum_casper.fits,0.6034,0.0744,0.757,0.0287,5016,250,-7.8,  NaN, NaN, NaN,GIANT, HALO,CH ,200
