name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,MCMC_iter
g77-61_m1b_casper.fits,0.9373,0.3267,,0.1089,4127,200,11.4,  NaN, NaN, NaN,DWARF, HALO,1000
g77-61_m2b_casper.fits,0.9373,0.3267,,0.1089,4127,200,108.2,  NaN, NaN, NaN,DWARF, HALO,1000
