name,J-K,H-K,g-r,EBV_SFD,TEFF_SET,T_SIGMA,RV,SN_CA,SN_CH,SN_C2,class,mode,MCMC_iter
J040618.2030525.fits,  NaN, NaN, Nan, 0.1, 4500, 250, 355.27,  NaN, NaN, NaN, GIANT, HALO, 400
J044208.2342114.fits,  NaN, NaN, NaN, 0.1, 4500, 250, 319.52,  NaN, NaN, NaN, GIANT, HALO, 400
J053817.0751621.fits,  NaN, NaN, NaN, 0.1, 4500, 250, 52.906,  NaN, NaN, NaN, GIANT, HALO, 400
