wave,flux
3750.0,1536.0921639809324
3750.55,1584.1405748711559
3751.1000000000004,1607.3100555172432
3751.6500000000005,1587.429575326134
3752.2000000000007,1645.383561870915
3752.750000000001,1639.0345389066556
3753.300000000001,1510.9824636997803
3753.8500000000013,1549.4616937336375
3754.4000000000015,1654.1588702315667
3754.9500000000016,1652.3815606277053
3755.500000000002,1654.6030736649984
3756.050000000002,1642.8930721598545
3756.600000000002,1692.5585323000091
3757.1500000000024,1738.84044701943
3757.7000000000025,1775.3493879140747
3758.2500000000027,1752.8966015277097
3758.800000000003,1738.340935759285
3759.350000000003,1736.7489757013195
3759.9000000000033,1700.9411500855474
3760.4500000000035,1740.43995652868
3761.0000000000036,1726.883713398485
3761.550000000004,1650.4812794128336
3762.100000000004,1593.7683026488771
3762.650000000004,1621.4551138149586
3763.2000000000044,1620.224095600829
3763.7500000000045,1554.4512764332087
3764.3000000000047,1556.4876505435332
3764.850000000005,1544.3215504481086
3765.400000000005,1414.576225597116
3765.9500000000053,1413.4773175759274
3766.5000000000055,1465.3051327074954
3767.0500000000056,1483.1843811218264
3767.600000000006,1524.319478621218
3768.150000000006,1533.8331645813842
3768.700000000006,1560.3195533563874
3769.2500000000064,1589.7496607691746
3769.8000000000065,1578.6561124526497
3770.3500000000067,1634.3958783509097
3770.900000000007,1705.1959520896578
3771.450000000007,1702.1939978199919
3772.0000000000073,1683.8135336639773
3772.5500000000075,1731.7921685689726
3773.1000000000076,1751.5514175052435
3773.650000000008,1741.2663730618667
3774.200000000008,1720.1448492499485
3774.750000000008,1750.9396298386512
3775.3000000000084,1694.4519737223413
3775.8500000000085,1646.1139232056084
3776.4000000000087,1691.0376903862448
3776.950000000009,1783.2782702314341
3777.500000000009,1755.963635745727
3778.0500000000093,1771.1380363102767
3778.6000000000095,1796.7887620828865
3779.1500000000096,1738.3507745156544
3779.70000000001,1760.5053063234009
3780.25000000001,1710.5209881163903
3780.80000000001,1624.0598273363034
3781.3500000000104,1638.5796652925128
3781.9000000000106,1661.7912359784584
3782.4500000000107,1631.658627290783
3783.000000000011,1613.0800561738902
3783.550000000011,1659.5075916112362
3784.1000000000113,1694.114556069727
3784.6500000000115,1704.1067421564117
3785.2000000000116,1684.1636375261678
3785.750000000012,1563.4238632099186
3786.300000000012,1469.1245520164148
3786.850000000012,1493.1025643199662
3787.4000000000124,1516.558442736039
3787.9500000000126,1492.5918001040225
3788.5000000000127,1540.0563519122277
3789.050000000013,1531.1876545065952
3789.600000000013,1403.570385319244
3790.1500000000133,1347.2018595031354
3790.7000000000135,1312.450975527436
3791.2500000000136,1263.607680612366
3791.800000000014,1280.668031311782
3792.350000000014,1343.8335747997967
3792.900000000014,1413.984452505942
3793.4500000000144,1390.7575635438275
3794.0000000000146,1400.1865151210886
3794.5500000000147,1484.017838228889
3795.100000000015,1505.3712146006892
3795.650000000015,1596.7796930629745
3796.2000000000153,1634.7531912571455
3796.7500000000155,1619.2460627670118
3797.3000000000156,1629.0704896875359
3797.850000000016,1641.65889581088
3798.400000000016,1548.4598476730412
3798.950000000016,1484.2524156383797
3799.5000000000164,1430.8965626767167
3800.0500000000166,1344.2890333726596
3800.6000000000167,1359.1434900976144
3801.150000000017,1366.5849577023928
3801.700000000017,1334.1920978623623
3802.2500000000173,1384.5845469356855
3802.8000000000175,1351.353296389517
3803.3500000000176,1303.0653292853501
3803.900000000018,1350.1544028946573
3804.450000000018,1325.1438458085163
3805.000000000018,1274.7479865521225
3805.5500000000184,1264.3007191193483
3806.1000000000186,1341.9745613465868
3806.6500000000187,1413.853902272274
3807.200000000019,1512.0858778464178
3807.750000000019,1523.2307459153699
3808.3000000000193,1418.4158015326632
3808.8500000000195,1352.768883880501
3809.4000000000196,1331.3059319302133
3809.95000000002,1258.6252200146823
3810.50000000002,1315.059901942916
3811.05000000002,1283.7480467380342
3811.6000000000204,1270.7347723698663
3812.1500000000206,1277.2197395014132
3812.7000000000207,1218.8496810052438
3813.250000000021,1160.7563766230771
3813.800000000021,1093.177049375589
3814.3500000000213,1039.6142348478397
3814.9000000000215,1201.554099874407
3815.4500000000216,1305.2192270782953
3816.000000000022,1393.1818118569613
3816.550000000022,1438.6731521888064
3817.100000000022,1339.5314024177221
3817.6500000000224,1270.130120510499
3818.2000000000226,1197.9423244652392
3818.7500000000227,1200.7786776955336
3819.300000000023,1158.8660083444588
3819.850000000023,1127.9780073889037
3820.4000000000233,1115.5488387391258
3820.9500000000235,1107.4829825123736
3821.5000000000236,1104.295283582495
3822.050000000024,1153.7511625960801
3822.600000000024,1187.470699004441
3823.150000000024,1139.9980888381242
3823.7000000000244,1150.2520643075231
3824.2500000000246,1183.8414767536221
3824.8000000000247,1127.0278206468956
3825.350000000025,1125.3725153848986
3825.900000000025,1059.6840212769182
3826.4500000000253,1079.4774013209312
3827.0000000000255,1129.689365390179
3827.5500000000256,1112.6538584196687
3828.100000000026,1178.388642814678
3828.650000000026,1179.6184417160785
3829.200000000026,1126.118360497312
3829.7500000000264,1119.4951352061457
3830.3000000000266,1173.8489516956804
3830.8500000000267,1263.5422955593765
3831.400000000027,1250.7294867079763
3831.950000000027,1249.012981989011
3832.5000000000273,1239.2416609066827
3833.0500000000275,1169.4275533418115
3833.6000000000276,1130.7607735666197
3834.150000000028,1117.1329613987846
3834.700000000028,1143.414880447214
3835.250000000028,1153.8333740190978
3835.8000000000284,1166.375347917497
3836.3500000000286,1159.2283640180065
3836.9000000000287,1169.328272797659
3837.450000000029,1174.5460310211652
3838.000000000029,1159.7198005551859
3838.5500000000293,1106.9629283597574
3839.1000000000295,1077.0217970056722
3839.6500000000296,1048.794645337483
3840.20000000003,989.7571959060172
3840.75000000003,948.4593949149947
3841.30000000003,961.909648523045
3841.8500000000304,925.1711644146935
3842.4000000000306,916.2058818409748
3842.9500000000307,892.8962427845752
3843.500000000031,824.7102634685082
3844.050000000031,823.1711358739444
3844.6000000000313,856.1241248552608
3845.1500000000315,857.4170877350343
3845.7000000000317,887.4713411940281
3846.250000000032,942.8715139506244
3846.800000000032,925.2620240384847
3847.350000000032,913.4892419509083
3847.9000000000324,879.2822960817678
3848.4500000000326,838.9040069965868
3849.0000000000327,896.7812022849316
3849.550000000033,998.6109155621905
3850.100000000033,1026.9449172473896
3850.6500000000333,1030.5204384613303
3851.2000000000335,969.6289892605894
3851.7500000000337,890.5135351893923
3852.300000000034,866.5276410524096
3852.850000000034,825.3971414354978
3853.400000000034,796.1087073263179
3853.9500000000344,785.1586297989365
3854.5000000000346,771.50869616249
3855.0500000000347,794.7241370417219
3855.600000000035,828.9686780993763
3856.150000000035,878.7270378341367
3856.7000000000353,967.9748151715971
3857.2500000000355,1061.3327009958289
3857.8000000000357,1138.1660290997884
3858.350000000036,1171.484253392659
3858.900000000036,1142.6037999795187
3859.450000000036,1099.458832305736
3860.0000000000364,1041.678964296433
3860.5500000000366,974.5715062161362
3861.1000000000367,922.5582740794341
3861.650000000037,935.5739172241565
3862.200000000037,889.3059221987163
3862.7500000000373,853.5269760772984
3863.3000000000375,775.5365403588421
3863.8500000000377,737.5354641133767
3864.400000000038,748.3562810455086
3864.950000000038,673.6540466387091
3865.500000000038,644.6955995011239
3866.0500000000384,778.0572871790904
3866.6000000000386,931.540407125141
3867.1500000000387,1117.2580299691513
3867.700000000039,1232.4190176637012
3868.250000000039,1299.8303513462051
3868.8000000000393,1331.2027791305545
3869.3500000000395,1385.2090812677664
3869.9000000000397,1439.8827405317593
3870.45000000004,1429.5652050342753
3871.00000000004,1417.4682286823652
3871.55000000004,1345.624251181061
3872.1000000000404,1317.4305337422659
3872.6500000000406,1300.3881185869268
3873.2000000000407,1203.1239798475526
3873.750000000041,1077.3324653703266
3874.300000000041,1032.3147952686918
3874.8500000000413,903.0362145291051
3875.4000000000415,746.0425442450928
3875.9500000000417,674.5093964143333
3876.500000000042,682.6120905397873
3877.050000000042,859.3913969788031
3877.600000000042,1187.0990451808766
3878.1500000000424,1695.6345548940449
3878.7000000000426,2237.3409264559104
3879.2500000000427,2522.5240287352262
3879.800000000043,2608.1981033172365
3880.350000000043,2581.564569272692
3880.9000000000433,2547.534163658718
3881.4500000000435,2505.132763066689
3882.0000000000437,2405.646871531693
3882.550000000044,2247.197421371988
3883.100000000044,1990.4516962171922
3883.650000000044,1803.9080464094372
3884.2000000000444,1701.8515223141167
3884.7500000000446,1737.3908326690037
3885.3000000000447,1908.3125403772888
3885.850000000045,2075.531171161989
3886.400000000045,2233.0638381745257
3886.9500000000453,2387.226147234154
3887.5000000000455,2441.377330374252
3888.0500000000457,2491.8365886518714
3888.600000000046,2368.127759814002
3889.150000000046,2166.0033201276947
3889.700000000046,2084.3162934557777
3890.2500000000464,2036.117364708324
3890.8000000000466,2172.41290766639
3891.3500000000467,2331.082866513706
3891.900000000047,2307.105823089695
3892.450000000047,2320.665707871717
3893.0000000000473,2411.105313444406
3893.5500000000475,2475.014929384964
3894.1000000000477,2642.521215410693
3894.650000000048,2588.0680792772037
3895.200000000048,2408.9144805090136
3895.750000000048,2266.0611652322737
3896.3000000000484,2039.8251958554333
3896.8500000000486,2084.3339180149887
3897.4000000000487,2366.9542164994896
3897.950000000049,2662.37571687709
3898.500000000049,2841.2929637818006
3899.0500000000493,2872.1114777270154
3899.6000000000495,2659.5953086289815
3900.1500000000497,2452.279908788264
3900.70000000005,2247.9364078673034
3901.25000000005,2185.5490550319064
3901.80000000005,2210.334960671486
3902.3500000000504,2226.8548509208395
3902.9000000000506,2327.2066606262897
3903.4500000000507,2367.105229450058
3904.000000000051,2419.1908535829316
3904.550000000051,2419.8095704759207
3905.1000000000513,2389.4139026639696
3905.6500000000515,2493.1380799089857
3906.2000000000517,2721.194499539719
3906.750000000052,2925.5764051804354
3907.300000000052,2821.179408328
3907.850000000052,2697.0747125454536
3908.4000000000524,2517.7733997835885
3908.9500000000526,2358.1422322687413
3909.5000000000528,2359.420882788314
3910.050000000053,2352.67335947677
3910.600000000053,2370.0220069520897
3911.1500000000533,2504.9543670290277
3911.7000000000535,2674.793924351685
3912.2500000000537,2744.0703384294106
3912.800000000054,2679.5707837506625
3913.350000000054,2563.907461795256
3913.900000000054,2440.9965860748657
3914.4500000000544,2197.776436648028
3915.0000000000546,1986.453424962828
3915.5500000000548,2012.5035080034272
3916.100000000055,2241.520172809537
3916.650000000055,2620.5583178004713
3917.2000000000553,2962.439383717352
3917.7500000000555,3111.606834701608
3918.3000000000557,3237.1507173613395
3918.850000000056,3210.226191660877
3919.400000000056,3116.264831303385
3919.950000000056,3139.366718197283
3920.5000000000564,3030.4325254247465
3921.0500000000566,2903.6434763181724
3921.6000000000568,2684.0759755746967
3922.150000000057,2532.5781614478565
3922.700000000057,2414.821295706784
3923.2500000000573,2346.118350933848
3923.8000000000575,2375.853519333283
3924.3500000000577,2349.08756243694
3924.900000000058,2137.939850906334
