wave,flux
3750.0,3096.573769894597
3750.55,3257.429057577704
3751.1000000000004,3455.2102184391906
3751.6500000000005,3513.2534139079435
3752.2000000000007,3433.131099696481
3752.750000000001,3301.7585162312607
3753.300000000001,3179.8454421795313
3753.8500000000013,3232.9567613630124
3754.4000000000015,3302.9681835791293
3754.9500000000016,3329.913458503209
3755.500000000002,3425.105348608195
3756.050000000002,3469.802608654611
3756.600000000002,3577.1923308867
3757.1500000000024,3563.4379028698236
3757.7000000000025,3526.9156623407657
3758.2500000000027,3535.6179209540587
3758.800000000003,3485.8472991297413
3759.350000000003,3433.932482949466
3759.9000000000033,3589.9228716979687
3760.4500000000035,3554.0202358826978
3761.0000000000036,3405.4543705238893
3761.550000000004,3427.8225529672072
3762.100000000004,3316.372051738247
3762.650000000004,3219.7284874510797
3763.2000000000044,3273.9638270938403
3763.7500000000045,3206.7541958342053
3764.3000000000047,3001.9297321923314
3764.850000000005,2731.526835627812
3765.400000000005,2615.7537392403947
3765.9500000000053,2656.367529282733
3766.5000000000055,2770.7152812864824
3767.0500000000056,2971.778930294661
3767.600000000006,3004.499405382703
3768.150000000006,3061.9085069848297
3768.700000000006,3172.161818767463
3769.2500000000064,3237.737043874576
3769.8000000000065,3287.913559488542
3770.3500000000067,3305.6828381928826
3770.900000000007,3418.5763521795016
3771.450000000007,3566.632369246916
3772.0000000000073,3666.672608919819
3772.5500000000075,3754.5950796262623
3773.1000000000076,3779.146252885546
3773.650000000008,3731.7994668494175
3774.200000000008,3721.3845002911034
3774.750000000008,3765.397535230436
3775.3000000000084,3754.2235105163113
3775.8500000000085,3716.1289385078926
3776.4000000000087,3707.896163302892
3776.950000000009,3759.91735820394
3777.500000000009,3724.645298677209
3778.0500000000093,3787.518802147739
3778.6000000000095,3757.2053556563515
3779.1500000000096,3677.747087621478
3779.70000000001,3721.8253733680876
3780.25000000001,3711.525974848433
3780.80000000001,3655.9237513883713
3781.3500000000104,3612.271171627922
3781.9000000000106,3575.0266147661932
3782.4500000000107,3539.9589195918525
3783.000000000011,3498.0991993722955
3783.550000000011,3513.2747609437943
3784.1000000000113,3495.4392565427843
3784.6500000000115,3552.9198844913453
3785.2000000000116,3560.062495862483
3785.750000000012,3483.4530591325165
3786.300000000012,3462.0223026763733
3786.850000000012,3404.1768719195697
3787.4000000000124,3456.948727901954
3787.9500000000126,3446.261243914862
3788.5000000000127,3409.8768174559705
3789.050000000013,3361.7605362768413
3789.600000000013,3234.9480403183115
3790.1500000000133,3080.5202305949497
3790.7000000000135,2979.058740111328
3791.2500000000136,2997.492543475276
3791.800000000014,2836.1428981106114
3792.350000000014,2674.045896916587
3792.900000000014,2667.303780971194
3793.4500000000144,2761.84530565475
3794.0000000000146,2993.1422272416376
3794.5500000000147,3245.8162041999135
3795.100000000015,3328.684602929884
3795.650000000015,3399.798902036662
3796.2000000000153,3553.319886010657
3796.7500000000155,3613.8887418418117
3797.3000000000156,3604.4015335150143
3797.850000000016,3583.633131129184
3798.400000000016,3642.285528885167
3798.950000000016,3652.3882118233196
3799.5000000000164,3669.004598366382
3800.0500000000166,3551.504570522343
3800.6000000000167,3539.6290848382337
3801.150000000017,3525.1122571510778
3801.700000000017,3584.3167265307966
3802.2500000000173,3478.398314840131
3802.8000000000175,3467.2904525280655
3803.3500000000176,3596.6232850939423
3803.900000000018,3601.8466433646845
3804.450000000018,3542.712644371637
3805.000000000018,3619.9385412840143
3805.5500000000184,3721.2047667409015
3806.1000000000186,3615.568246549683
3806.6500000000187,3580.001964994328
3807.200000000019,3674.426452874101
3807.750000000019,3561.366450236334
3808.3000000000193,3563.883968182373
3808.8500000000195,3500.54980900247
3809.4000000000196,3427.23177156813
3809.95000000002,3462.7130859464887
3810.50000000002,3427.418015615102
3811.05000000002,3406.0817984532923
3811.6000000000204,3452.5301890972105
3812.1500000000206,3528.3814536383243
3812.7000000000207,3475.1760549163955
3813.250000000021,3391.2304736828296
3813.800000000021,3330.426917559411
3814.3500000000213,3268.5086571640654
3814.9000000000215,3261.803395973764
3815.4500000000216,3341.9793749135906
3816.000000000022,3412.774556789499
3816.550000000022,3573.4901836122785
3817.100000000022,3638.471350128536
3817.6500000000224,3556.5170810945046
3818.2000000000226,3398.9636686293643
3818.7500000000227,3404.4578136919704
3819.300000000023,3283.975400895974
3819.850000000023,3222.535420761058
3820.4000000000233,3262.968286367179
3820.9500000000235,3261.141208004794
3821.5000000000236,3277.2775562301413
3822.050000000024,3291.0727202057296
3822.600000000024,3306.1129080145693
3823.150000000024,3269.660895745468
3823.7000000000244,3171.7324141497647
3824.2500000000246,3126.9765512325075
3824.8000000000247,3092.934178621391
3825.350000000025,3063.7293950928797
3825.900000000025,2937.4665478982733
3826.4500000000253,2799.982335054789
3827.0000000000255,2742.6888817918916
3827.5500000000256,2763.1543731883385
3828.100000000026,2818.172299712589
3828.650000000026,2877.5115119647962
3829.200000000026,2723.2431833484534
3829.7500000000264,2590.4734725088297
3830.3000000000266,2566.6743150100538
3830.8500000000267,2708.3543993822177
3831.400000000027,2769.4132438400034
3831.950000000027,2737.337146891021
3832.5000000000273,2778.169059218811
3833.0500000000275,2701.7300772873286
3833.6000000000276,2741.0109989969833
3834.150000000028,2904.412435544631
3834.700000000028,3138.941483043496
3835.250000000028,3210.684683095169
3835.8000000000284,3130.7510767533595
3836.3500000000286,3202.352291123144
3836.9000000000287,3301.904629154813
3837.450000000029,3451.908853002445
3838.000000000029,3481.242998645106
3838.5500000000293,3415.8497743453486
3839.1000000000295,3397.5383142307674
3839.6500000000296,3365.623654575841
3840.20000000003,3385.1893528838937
3840.75000000003,3269.8766376946965
3841.30000000003,3116.3138255676813
3841.8500000000304,3080.9951640249797
3842.4000000000306,2993.0610592749185
3842.9500000000307,2878.397285090455
3843.500000000031,2730.2866556943063
3844.050000000031,2683.4867089391128
3844.6000000000313,2641.945135038485
3845.1500000000315,2685.015021572836
3845.7000000000317,2680.669841838082
3846.250000000032,2784.533295648248
3846.800000000032,2922.2664203043837
3847.350000000032,2919.498881567655
3847.9000000000324,2907.8308670439114
3848.4500000000326,2811.329351543235
3849.0000000000327,2810.6257859470406
3849.550000000033,2925.544335465155
3850.100000000033,3077.371850403665
3850.6500000000333,3247.487552028706
3851.2000000000335,3220.4868875329685
3851.7500000000337,3123.2330276958396
3852.300000000034,3092.177580758648
3852.850000000034,2995.501488806713
3853.400000000034,2856.771149412786
3853.9500000000344,2786.07254107727
3854.5000000000346,2726.318783540441
3855.0500000000347,2682.101473007087
3855.600000000035,2697.8258306808534
3856.150000000035,2783.9772251711665
3856.7000000000353,3008.806484218035
3857.2500000000355,3306.763224143857
3857.8000000000357,3465.049498176354
3858.350000000036,3516.7053553386113
3858.900000000036,3458.5407074075492
3859.450000000036,3395.1986559386305
3860.0000000000364,3413.0280139963743
3860.5500000000366,3357.2210079747174
3861.1000000000367,3237.635554270274
3861.650000000037,3187.512794841729
3862.200000000037,3068.1675517950434
3862.7500000000373,2938.3744154244823
3863.3000000000375,2726.5421887301036
3863.8500000000377,2690.9017678375835
3864.400000000038,2545.4197035987563
3864.950000000038,2217.5595202817235
3865.500000000038,1951.5274764542555
3866.0500000000384,1877.9059494236512
3866.6000000000386,1917.9882392950244
3867.1500000000387,2185.9431706851874
3867.700000000039,2515.765898853454
3868.250000000039,2833.4581090217025
3868.8000000000393,3141.6930332258435
3869.3500000000395,3189.3949682355437
3869.9000000000397,3266.057645252474
3870.45000000004,3410.1914697130337
3871.00000000004,3363.58910526977
3871.55000000004,3323.421800617365
3872.1000000000404,3047.3492229954704
3872.6500000000406,2895.5728082199576
