wave,flux
3750.0,2636.444064611983
3750.55,2661.5416309700504
3751.1000000000004,2646.9975624104136
3751.6500000000005,2650.749204199594
3752.2000000000007,2553.8512265123472
3752.750000000001,2481.7511618607673
3753.300000000001,2312.778433349886
3753.8500000000013,2216.638599010756
3754.4000000000015,2244.7002159204603
3754.9500000000016,2305.4919998441483
3755.500000000002,2349.2452990371044
3756.050000000002,2463.3653011135493
3756.600000000002,2522.339704083896
3757.1500000000024,2484.641101144764
3757.7000000000025,2393.275639444035
3758.2500000000027,2302.9937763081766
3758.800000000003,2201.0477426954812
3759.350000000003,2243.6850849374887
3759.9000000000033,2413.953816547798
3760.4500000000035,2526.3403814949734
3761.0000000000036,2565.4722413658455
3761.550000000004,2586.0275819895724
3762.100000000004,2551.2963594050534
3762.650000000004,2512.4617049248573
3763.2000000000044,2518.4842016492903
3763.7500000000045,2497.006150334417
3764.3000000000047,2590.2568285715724
3764.850000000005,2647.687167559993
3765.400000000005,2681.454537503754
3765.9500000000053,2739.87368348198
3766.5000000000055,2781.2958253859833
3767.0500000000056,2713.514926945859
3767.600000000006,2653.628414823535
3768.150000000006,2685.6978959694447
3768.700000000006,2749.1421260248285
3769.2500000000064,2778.2442260492635
3769.8000000000065,2779.646561211948
3770.3500000000067,2708.7670871433575
3770.900000000007,2628.302220169715
3771.450000000007,2655.195251289285
3772.0000000000073,2623.399331536637
3772.5500000000075,2659.317897726252
3773.1000000000076,2521.0060898607762
3773.650000000008,2336.0491926236896
3774.200000000008,2305.549950720969
3774.750000000008,2238.8176932032584
3775.3000000000084,2214.6552400053715
3775.8500000000085,2199.676144150202
3776.4000000000087,2236.94596627586
3776.950000000009,2314.8626413227657
3777.500000000009,2344.5021412110436
3778.0500000000093,2334.1973329460357
3778.6000000000095,2388.6592237840246
3779.1500000000096,2459.310664843912
3779.70000000001,2527.953266106705
3780.25000000001,2628.8135635627
3780.80000000001,2632.969623705443
3781.3500000000104,2652.8613299671115
3781.9000000000106,2747.251640285983
3782.4500000000107,2721.534071238353
3783.000000000011,2704.8114181057363
3783.550000000011,2794.9372531482663
3784.1000000000113,2738.322132216399
3784.6500000000115,2770.2194889920565
3785.2000000000116,2753.294882150104
3785.750000000012,2722.667440603566
3786.300000000012,2802.854386184244
3786.850000000012,2824.836316766077
3787.4000000000124,2860.2731047857733
3787.9500000000126,2830.9208745498972
3788.5000000000127,2785.6465490292285
3789.050000000013,2710.5956048222215
3789.600000000013,2797.794352118587
3790.1500000000133,2781.418601701468
3790.7000000000135,2844.747196324267
3791.2500000000136,2877.303946297291
3791.800000000014,2745.577420466122
3792.350000000014,2595.4022399214728
3792.900000000014,2639.3475089316626
3793.4500000000144,2621.1724421969648
3794.0000000000146,2557.4049807532874
3794.5500000000147,2551.373353354217
3795.100000000015,2516.617748732966
3795.650000000015,2484.914882651715
3796.2000000000153,2482.438197464867
3796.7500000000155,2487.5990880012064
3797.3000000000156,2490.272445146404
3797.850000000016,2448.5186302599946
3798.400000000016,2370.7886301068584
3798.950000000016,2321.896772457517
3799.5000000000164,2297.4824360990506
3800.0500000000166,2375.435010479787
3800.6000000000167,2226.1296538345387
3801.150000000017,2213.3044967358146
3801.700000000017,2233.493360256756
3802.2500000000173,2212.380782706883
3802.8000000000175,2208.6686094465267
3803.3500000000176,2286.2018634514607
3803.900000000018,2364.7313170520097
3804.450000000018,2455.6515324713855
3805.000000000018,2545.2933788014216
3805.5500000000184,2663.72265376716
