wave,flux
3750.0,1894.2155262066753
3750.55,1800.9271617990767
3751.1000000000004,1803.802645902622
3751.6500000000005,1796.1381099457262
3752.2000000000007,1826.8170959410836
3752.750000000001,1849.2613200314138
3753.300000000001,1883.6005099005079
3753.8500000000013,1888.0742923741304
3754.4000000000015,1864.365218694661
3754.9500000000016,1897.9047668775713
3755.500000000002,1859.3191861205728
3756.050000000002,1906.3701048104074
3756.600000000002,1936.3042052190988
3757.1500000000024,1950.996191141017
3757.7000000000025,1939.1475353467497
3758.2500000000027,1893.7246949190421
3758.800000000003,1877.385651728256
3759.350000000003,1876.9050079588908
3759.9000000000033,1898.424347073115
3760.4500000000035,1944.6415399124594
3761.0000000000036,1963.7774506399714
3761.550000000004,2000.4540337720578
3762.100000000004,2049.6276883014953
3762.650000000004,2022.5783752021189
3763.2000000000044,2033.7094255133434
3763.7500000000045,2081.2993452888763
3764.3000000000047,2006.1383675488007
3764.850000000005,2005.9045942459425
3765.400000000005,2047.2079111711407
3765.9500000000053,2025.701491034978
3766.5000000000055,2060.993509761929
3767.0500000000056,2009.2767133935197
3767.600000000006,1953.0972909525021
3768.150000000006,1951.0535349249687
3768.700000000006,1956.5590721146127
3769.2500000000064,1939.0010923820892
3769.8000000000065,1925.2572781883664
3770.3500000000067,1881.7954210835592
3770.900000000007,1830.1843943595345
3771.450000000007,1786.1461821188204
3772.0000000000073,1809.7093800478142
3772.5500000000075,1835.0065872913246
3773.1000000000076,1863.2539119424935
3773.650000000008,1883.8646060134806
3774.200000000008,1889.9207029641589
3774.750000000008,1921.003920312564
3775.3000000000084,1970.8497529550068
3775.8500000000085,2027.8921393181206
3776.4000000000087,2021.381383930836
3776.950000000009,2060.520375588797
3777.500000000009,2050.4610070404797
3778.0500000000093,2085.5793850743453
3778.6000000000095,2129.7287306533062
3779.1500000000096,2191.2179630193104
3779.70000000001,2211.354445794199
3780.25000000001,2255.7141403173546
3780.80000000001,2233.1065450955657
3781.3500000000104,2170.443446330742
3781.9000000000106,2160.4161438287388
3782.4500000000107,2229.5562870717713
3783.000000000011,2162.179266554432
3783.550000000011,2135.1024817911602
3784.1000000000113,2168.3314367905277
3784.6500000000115,2196.1067345876913
3785.2000000000116,2208.935828281288
3785.750000000012,2247.129160600405
3786.300000000012,2190.4213833752256
3786.850000000012,2186.5385850226844
3787.4000000000124,2189.24086034849
3787.9500000000126,2119.796380769878
3788.5000000000127,2132.276790846059
3789.050000000013,2096.025976720465
3789.600000000013,2070.307840468891
3790.1500000000133,2123.1785164925323
3790.7000000000135,2135.620728190074
3791.2500000000136,2169.4556023896557
3791.800000000014,2118.8301032690024
3792.350000000014,2097.631110414048
3792.900000000014,2062.1382881456993
3793.4500000000144,2063.332166919415
3794.0000000000146,2070.230445914511
3794.5500000000147,2083.79663048642
3795.100000000015,2076.5870391975777
3795.650000000015,2063.2111211758875
3796.2000000000153,2007.281010941958
3796.7500000000155,1954.7517363248364
3797.3000000000156,1997.1901209127632
3797.850000000016,1932.1561380728012
3798.400000000016,1873.7881257332733
3798.950000000016,1829.4818506675347
3799.5000000000164,1849.0334118606343
3800.0500000000166,1891.829247361747
3800.6000000000167,1948.057592326002
3801.150000000017,2120.196732668298
3801.700000000017,2096.871195769167
3802.2500000000173,2067.3946417844772
3802.8000000000175,2116.2420360988185
3803.3500000000176,2068.278731511817
3803.900000000018,2142.0924429366996
3804.450000000018,2168.6431758969743
3805.000000000018,2130.0290577536102
3805.5500000000184,2143.7763956765634
3806.1000000000186,2149.2969377392487
3806.6500000000187,2135.125856653823
3807.200000000019,2112.977725050646
3807.750000000019,2078.255137315798
3808.3000000000193,2078.4084358165796
3808.8500000000195,2089.7508504148345
3809.4000000000196,2110.096470988391
3809.95000000002,2066.533490803664
3810.50000000002,2072.7942556968246
3811.05000000002,2138.136209732017
3811.6000000000204,2129.696095195742
3812.1500000000206,2139.117278152684
3812.7000000000207,2155.2363969932694
3813.250000000021,2120.1229274192683
3813.800000000021,2116.5723000423827
3814.3500000000213,2067.363140553091
3814.9000000000215,2048.061081211763
3815.4500000000216,2050.0755817781146
3816.000000000022,2039.319374239749
3816.550000000022,2018.460037657221
3817.100000000022,2025.7052332574444
3817.6500000000224,2057.4255173982338
3818.2000000000226,2092.5348143868628
3818.7500000000227,2081.2903526030636
3819.300000000023,1994.3205966495677
3819.850000000023,2039.6617027667385
3820.4000000000233,2058.4175336457374
3820.9500000000235,1976.1915551562142
3821.5000000000236,1989.5565352403974
3822.050000000024,2016.137606615168
3822.600000000024,1965.8535057843496
3823.150000000024,2025.0085504460885
3823.7000000000244,2027.668927939776
3824.2500000000246,2003.6589526552916
3824.8000000000247,1926.7225466224181
