NAME,MODE,GROUP,TEFF,TEFF_ERR,TEFF_IRFM,FEH,FEH_ERR,CFE,CFE_ERR,AC,AC_ERR
g77-61_m1b_casper.fits,CH+C2,GIII,3951.0,140.86,200.0,-3.17,0.4676,2.41,0.318,7.67,0.5655
g77-61_m2b_casper.fits,CH+C2,GIII,4001.0,87.55,200.0,-4.04,0.2713,2.96,0.4436,7.35,0.52
